Table S1. Detailed library-level information for samples passing through screening process.;;;;;;;;;;;;;;;;;;;;;;;;;
Library ID;Lab Indiv. ID;Skeletal codes;UDG;Skeletal element;Date (BCE/CE);Culture;Location;Country;Extraction protocol (see key below);Library preparation (see key below);Equivalent mg bone powder used for library preparation ;Shotgun raw sequences;Shotgun fraction raw sequences mapping to hg19;mtDNA sequences in alignment;mtDNA sequences aligning to target;Aligned mtDNA sequences remaining after deduping;mtDNA coverage;mtDNA median read length;mtDNA fraction damaged in last base;mtDNA haplogroup;mtDNA match fraction;mtDNA match fraction   95% CI;Perform 1240k capture?;1240k captured in pool? (number of libraries in pool);Used in analyses?
S2729.E1.L6;I0627;VN34, 0.7.MB.H1.M6;partial;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;6,3;924524;0,0115;1102511;27774;4815;9,74;33;0,331;M7b1a1;0,811;[0.782,0.837];Yes;Yes (5);Yes
S7242.E1.L1;I0627;VN34_SCC;partial;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;7,7;411833;0,0081;1139891;2010;1105;2,25;34;0,32;R0;0,996;[0.909,0.999];Yes;No;Yes
S0627.E1.L1;I0627;VN34, 0.7.MB.H1.M6;partial;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;23,3;620413;0,0044;929117;241088;6529;14,7;37;0,341;M7b1a1+(16192);0,85;[0.833,0.867];Yes;No;No
S0627.E2.L1;I0627;VN34, 0.7.MB.H1.M6;minus;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;25,7;310813;0,0048;1055116;9986;4033;9,19;38;0,605;M;0,838;[0.794,0.874];Yes;Yes (2);No^
S0627.E2.L3;I0627;VN34, 0.7.MB.H1.M6;minus;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;25,7;265174;0,0046;593025;2362;1860;4,36;38;0,632;H2a;0,981;[0.857,0.998];Yes;Yes (2);No
S2729.E1.L1;I0627;VN34, 0.7.MB.H1.M6;minus;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];2;19,0;318216;0,0432;1641227;23422;7089;15,2;36;0,625;M7b1;..;..;Yes;No;No
S2729.E1.L4;I0627;VN34, 0.7.MB.H1.M6;partial;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;6,3;1276461;0,0099;1953092;39852;6501;13,2;34;0,363;N;0,947;[0.936,0.957];Yes;Yes (5);No
S0627.E2.L2;I0627;VN34, 0.7.MB.H1.M6;minus;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;25,7;..;..;..;..;..;..;..;..;..;..;..;No;;No
S0627.E3.L1;I0627;VN34, 0.7.MB.H1.M6;partial;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;*;3;5,8;154221;0,0023;363819;729;333;0,733;37;0,309;..;..;..;No;;No
S0627.E4.L1;I0627;VN34, 0.7.MB.H1.M6;partial;petrous;2131-1896 calBCE (3630±35 BP, Poz-81116, date suspect because C:N ratio of 3.68);Vietnam_Neolithic;Man Bac;Vietnam;*;3;8,0;82350;0,0023;270962;388;208;0,472;38;0,343;..;..;..;No;;No
